Name,Password,Title,Department,Phone Number,Street,City,State,ZIP,Country,OU
Sheri Finley,#1singer,CEO,Ownership,566.821.8126,913 Middle River Street,Stuart,Florida,34997,US,Management
Stewart Ferguson,yankees#1,Vice President,Ownership,676.339.9176,913 Middle River Street,Stuart,Florida,34997,US,Management
Everett Long,password1!,Director,Management,604.346.5482,913 Middle River Street,Stuart,Florida,34997,US,Management
Greg Snell,iluv?4eva,Director,Management,864.715.8309,913 Middle River Street,Stuart,Florida,34997,US,Management
Cassie Kerr,#1grandma,Administrator,Management,518.373.7435,913 Middle River Street,Stuart,Florida,34997,US,Management
Jeff Russel,softball#1,Security Officer,Security,278.488.0527,913 Middle River Street,Stuart,Florida,34997,US,Security
Sheryl Hogan,player#1,Manager,R&D,627.900.7979,913 Middle River Street,Stuart,Florida,34997,US,R&D
Daryl Rodgers,myspace#1,Analyst,R&D,439.858.3916,913 Middle River Street,Stuart,Florida,34997,US,R&D
Christie Villanueva,jordan#1,Analyst,R&D,220.781.7078,913 Middle River Street,Stuart,Florida,34997,US,R&D
Catherine Callahan,brandon#1,Manager,DevOps,595.706.2589,913 Middle River Street,Stuart,Florida,34997,US,DevOps
Phyllis Gilmore,baseball#1,Architect,DevOps,665.663.3533,913 Middle River Street,Stuart,Florida,34997,US,DevOps
Carolina Huston,100%princess,Architect,DevOps,501.652.9045,913 Middle River Street,Stuart,Florida,34997,US,DevOps
Jon Davenport,100%latina,Specialist,DevOps,956.872.7015,913 Middle River Street,Stuart,Florida,34997,US,DevOps
Geoffrey Bennett,playboy#1,Manager,Engineering,549.681.7165,913 Middle River Street,Stuart,Florida,34997,US,Engineering
Natalie Dodd,johncena#1,Architect,Engineering,224.520.9762,913 Middle River Street,Stuart,Florida,34997,US,Engineering
Kristin Boyle,chivas100%,Engineer,Engineering,476.823.4364,913 Middle River Street,Stuart,Florida,34997,US,Engineering
Jerome Lee,bowwow#1,Engineer,Engineering,496.779.4303,913 Middle River Street,Stuart,Florida,34997,US,Engineering
Andrea Petty,alexis#1,Engineer,Engineering,915.554.3970,913 Middle River Street,Stuart,Florida,34997,US,Engineering
Kirk Dorsey,100%devil,Engineer,Engineering,474.473.2063,913 Middle River Street,Stuart,Florida,34997,US,Engineering
Harriet Velasquez,#1hustla,Engineer,Engineering,477.671.4697,913 Middle River Street,Stuart,Florida,34997,US,Engineering
Mohammed Madden,superman#1,Engineer,Engineering,612.789.8119,913 Middle River Street,Stuart,Florida,34997,US,Engineering
Kelli Kimball,eminem#1,Specialist,Engineering,691.204.6546,913 Middle River Street,Stuart,Florida,34997,US,Engineering
Israel Griffith,#1sexybitch,Coordinator,Marketing,902.531.9719,913 Middle River Street,Stuart,Florida,34997,US,Marketing
Beatriz Gardner,cutiepie#1,Designer,Marketing,336.309.7307,913 Middle River Street,Stuart,Florida,34997,US,Marketing
Ramiro Steward,carlos#1,Designer,Marketing,291.961.4106,913 Middle River Street,Stuart,Florida,34997,US,Marketing
Marcella Lane,baller#1,Analyst,Marketing,413.669.4208,913 Middle River Street,Stuart,Florida,34997,US,Marketing
Derrick Valdez,anthony#1,Planner,Marketing,506.743.6199,913 Middle River Street,Stuart,Florida,34997,US,Marketing
Helen Mendez,100%mexican,Intern,Engineering,659.455.2740,913 Middle River Street,Stuart,Florida,34997,US,Interns
Anne Dorsey,100%babe,Intern,Engineering,480.482.2423,913 Middle River Street,Stuart,Florida,34997,US,Interns
Danny Spears,dancer#1,Intern,Engineering,300.730.7229,913 Middle River Street,Stuart,Florida,34997,US,Interns
